src,dst,phase,class,bytes,packets,window,pir,t_on,t_off,t_period
0,12,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,13,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,14,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,15,conv6,scatter,50176,784,240458,0.0001630222,120229,360688,601148
0,16,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,17,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,48,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,49,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,50,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,51,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,52,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,53,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,84,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,85,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,86,conv6,scatter,50176,784,240458,0.0001630222,120229,360688,601148
0,87,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,88,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
0,89,conv6,scatter,47040,735,240458,0.0001528333,120229,360688,601148
1,36,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
2,0,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
3,36,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
4,0,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
5,36,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
6,0,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
7,36,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
8,0,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
9,36,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
10,0,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
11,36,conv6,reduce,1605632,25088,240458,0.0052167114,120229,360688,601148
13,48,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
14,12,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
15,48,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
16,12,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
17,48,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
18,12,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
19,48,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
20,12,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
21,48,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
22,12,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
23,48,conv7,reduce,1605632,25088,240458,0.0052167114,360688,601147,601148
24,0,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,1,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,2,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,3,conv5,scatter,50176,784,120228,0.0003260472,0,120229,601148
24,4,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,5,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,25,conv5,scatter,3136,49,120228,0.0000203779,0,120229,601148
24,36,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,37,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,38,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,39,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,40,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,41,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,60,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,72,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,73,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,74,conv5,scatter,50176,784,120228,0.0003260472,0,120229,601148
24,75,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
24,76,conv5,scatter,47040,735,120228,0.0003056692,0,120229,601148
