node,x,y,z,layer,r,c,role
0,0,0,0,q,0,0,accumulator
1,1,0,0,q,0,1,accumulator
2,2,0,0,q,0,2,accumulator
3,3,0,0,q,0,3,accumulator
4,4,0,0,q,0,4,accumulator
5,5,0,0,q,0,5,accumulator
6,0,1,0,k,0,0,accumulator
7,1,1,0,k,0,1,accumulator
8,2,1,0,k,0,2,accumulator
9,3,1,0,k,0,3,accumulator
10,4,1,0,k,0,4,accumulator
11,5,1,0,k,0,5,accumulator
12,0,2,0,v,0,0,accumulator
13,1,2,0,v,0,1,accumulator
14,2,2,0,v,0,2,accumulator
15,3,2,0,v,0,3,accumulator
16,4,2,0,v,0,4,accumulator
17,5,2,0,v,0,5,accumulator
18,0,3,0,o,0,0,accumulator
19,1,3,0,o,0,1,accumulator
20,2,3,0,o,0,2,accumulator
21,3,3,0,o,0,3,accumulator
22,4,3,0,o,0,4,accumulator
23,5,3,0,o,0,5,accumulator
24,0,4,0,ff1,0,0,accumulator
25,1,4,0,ff1,0,1,accumulator
26,2,4,0,ff1,0,2,accumulator
27,3,4,0,ff1,0,3,accumulator
28,4,4,0,ff1,0,4,accumulator
29,5,4,0,ff1,0,5,accumulator
30,0,5,0,ff1,0,6,accumulator
31,1,5,0,ff1,0,7,accumulator
32,2,5,0,ff1,0,8,accumulator
33,3,5,0,ff1,0,9,accumulator
34,4,5,0,ff1,0,10,accumulator
35,5,5,0,ff1,0,11,accumulator
36,0,0,1,ff1,0,12,accumulator
37,1,0,1,ff1,0,13,accumulator
38,2,0,1,ff1,0,14,accumulator
39,3,0,1,ff1,0,15,accumulator
40,4,0,1,ff1,0,16,accumulator
41,5,0,1,ff1,0,17,accumulator
42,0,1,1,ff1,0,18,accumulator
43,1,1,1,ff1,0,19,accumulator
44,2,1,1,ff1,0,20,accumulator
45,3,1,1,ff1,0,21,accumulator
46,4,1,1,ff1,0,22,accumulator
47,5,1,1,ff1,0,23,accumulator
48,0,2,1,ff2,0,0,accumulator
49,1,2,1,ff2,0,1,accumulator
50,2,2,1,ff2,0,2,accumulator
51,3,2,1,ff2,0,3,accumulator
52,4,2,1,ff2,0,4,accumulator
53,5,2,1,ff2,0,5,accumulator
54,0,3,1,ff2,1,0,tile
55,1,3,1,ff2,1,1,tile
56,2,3,1,ff2,1,2,tile
57,3,3,1,ff2,1,3,tile
58,4,3,1,ff2,1,4,tile
59,5,3,1,ff2,1,5,tile
60,0,4,1,ff2,2,0,tile
61,1,4,1,ff2,2,1,tile
62,2,4,1,ff2,2,2,tile
63,3,4,1,ff2,2,3,tile
64,4,4,1,ff2,2,4,tile
65,5,4,1,ff2,2,5,tile
66,0,5,1,-,,,idle
67,1,5,1,-,,,idle
68,2,5,1,-,,,idle
69,3,5,1,-,,,idle
70,4,5,1,-,,,idle
71,5,5,1,-,,,idle
72,0,0,2,-,,,idle
73,1,0,2,-,,,idle
74,2,0,2,-,,,idle
75,3,0,2,-,,,idle
76,4,0,2,-,,,idle
77,5,0,2,-,,,idle
78,0,1,2,-,,,idle
79,1,1,2,-,,,idle
80,2,1,2,-,,,idle
81,3,1,2,-,,,idle
82,4,1,2,-,,,idle
83,5,1,2,-,,,idle
84,0,2,2,-,,,idle
85,1,2,2,-,,,idle
86,2,2,2,-,,,idle
87,3,2,2,-,,,idle
88,4,2,2,-,,,idle
89,5,2,2,-,,,idle
90,0,3,2,-,,,idle
91,1,3,2,-,,,idle
92,2,3,2,-,,,idle
93,3,3,2,-,,,idle
94,4,3,2,-,,,idle
95,5,3,2,-,,,idle
96,0,4,2,-,,,idle
97,1,4,2,-,,,idle
98,2,4,2,-,,,idle
99,3,4,2,-,,,idle
100,4,4,2,-,,,idle
101,5,4,2,-,,,idle
102,0,5,2,-,,,idle
103,1,5,2,-,,,idle
104,2,5,2,-,,,idle
105,3,5,2,-,,,idle
106,4,5,2,-,,,idle
107,5,5,2,-,,,idle
